Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,05-10-2007 21:00,Ghaziabad' (India),,India,Disk,"Sighting in India ,unexplainable by human resources",05-10-2007,,
Open,05-05-2007 13:17,Pune (India),,India,Cigar,((HOAX??)) Extra-teresstrials in the cigar shaped objects moving with incredible speed.,05-12-2007,,
Open,04/25/2007 02:00,India,,India,Rectangle,UFO and creature sighted at 2:00 AM in the morning.,05-09-2007,,
Open,03/24/2007 06:30,India,,India,Unknown,an unknown shaped onject ejecting reddish flames fr its tail but moving along the horizon,04-04-2007,,
Open,01-06-2007 21:00,Bangalore (India),,India,Circle,http://www.ibnlive.com/news/spotted-ufo-in-bangalore-airspace/41661-11.html,06-01-2007,,
Open,12/22/2006 07:11,Delhi (India),,India,Fireball,I saw a UFO who shape was like a fireball manuevering sofisticately,01/18/2007,,
Open,12/13/2006 22:55,Sagar (India),,India,Changing,close encounter of 1st kind,01-02-2007,,
Open,12-09-2006 22:00,Pune (India),,India,Triangle,"Triangular craft, low altitude and absolutely no noise",04-06-2012,,
Open,12-03-2006 21:00,New Delhi (India),,India,Fireball,object like a fireball moving very fast in all direction for 30 sec. got a video and two pics also.,12-03-2006,,
Open,11/24/2006 18:45,New Delhi (India),,India,Circle,I was smoking ouside my office gallery. I saw a bright star like object in the sky. I thought it is an aeroplane. suddenly the light we,11/24/2006,,
Open,11/23/2006 19:00,Barnala Sherpur (village) (India),,India,Triangle,long cyclinderical or triangle ufo sighted in India,11/24/2006,,
Open,11-11-2006 22:15,Pune (India),,India,Triangle,"Triangular craft seen flying over, dimly lit at corners and silent",11/14/2006,,
Open,08/14/2006 19:00,Mysore (India),,India,Light,A SHINING LIGHT WITH A RED BEACON ROTATEING AROUND.,08/13/2006,,
Open,07/30/2006 22:00,Kullu,,India,Formation,"I was drving in the District of KULLU in the state of Himachal Pradesh in India. I observed the pitch black night sky, when i notice",08-08-2006,,
Open,07/21/2006 01:55,New Delhi (India),,India,Fireball,Huge glowing object spotted at eastern horizon and in the south - west much bigger than the stars and at one - fourth the size of moon.,07/22/2006,,
Open,07/19/2006 00:00,Chandigarh (India),,India,Disk,My friends and i were sitting in the park when i while talking noticed a circilar disk sway around a building next door . I told friend,07/19/2006,,
Open,06-04-2006 23:45,AHMECGARH (India),,India,,IT WAS OUT OF THE WORLD .,06-05-2006,,
Open,04/21/2006 16:30,,,India,Other,Igloo shaped surface UFO,03/29/2023,,
Open,03/31/2006 07:17,Madurai (India),,India,Unknown,"Sir, Tonight at exactly 7.16 p.m (I looked at the time in my cell phone which I had in my hand) while taking my usual walk in the open",03/31/2006,,
Open,01-10-2006 00:00,"Srinagar, Kashmir (India)",,India,Circle,A rotating circular and saucer shaped object changing colour with falshing lights and fast coming down towards the earth.,01-11-2006,,
Open,01-09-2006 03:20,Bangalore (India),,India,Cone,A BRIGHT LIGHT IN THE SKY FOR TWO MIN AND FINALLY IT BECAME INVISIBLE,01-09-2006,,
Open,12/26/2005 19:15,Buldana (India),,India,Light,At 19.15 hrs on 26/12/2005 in Buldana Maharashtra state of India we saw a very bright light(just like a big star)travelling very slowly,01-02-2006,,
Open,12/25/2005 07:20,Ahmedabad-Vadodra Express Highway. Gujarat (India),,India,Fireball,"Yellowish-orange light(seems something was burning)observed in the EAST sky from Ahmedabad -Vadodra Express Highway, Gujarat,India.",12/26/2005,,
Open,12/13/2005 00:00,,,India,Changing,Piece of Moon,12/13/2005,,
Open,11/18/2005 18:32,Meerut (India),,India,Triangle,triangle shape three white light & one red light between the three white light,09/17/2006,,
Open,10/29/2005 08:00,Jamshedpur (India),,India,Other,I saw a ufo which appearerd to be a star to me.,10/29/2005,,
Open,10-12-2005 19:35,Gurgaon (India),,India,Oval,Blue oval ball over Gurgaon sky line,10/14/2005,,
Open,06/25/2005 22:00,Mumbai (India),,India,Circle,Mumbai ufo sighting,06/26/2005,,
Open,03-01-2005 01:25,Chennai (India),,India,Disk,2 crafts near by flying 4 3 mins,03-01-2006,,
Open,01/14/2005 23:00,Bangalore (India),,India,Light,Red Blinking light that travelled at a good speed and made no Sound,01/17/2005,,
Open,12/26/2004 13:30,Coimbatore (India),,India,Disk,Saucer shaped object brown metallic was seen descending just as i was watching the report on sea surges throughout asia thought these,12/27/2004,,
Open,11-12-2004 19:00,Pune (India),,India,Other,"A air craft like sphere in shape , i cant explain what was that, but surely not any plane from earth , it was something like sphere fly",11/13/2004,,
Open,11-05-2004 05:45,Bangalore (India),,India,Chevron,"November 5 2004 , CHEVRON shaped UFO",07/25/2005,,
Open,11-05-2004 05:45,Bangalore (India),,India,Other,"Boomerang/V shaped UFO, atleast as big as boeing747, over Bangalore ,India, on nov 5th 04",11/18/2004,,
Open,10-12-2004 23:00,Delhi (India),,India,Circle,Disk like object sighted in India,06/25/2005,,
Open,10-05-2004 18:35,Palampur (India),,India,Other,while on our evening walk in the hills this umbrella shaped being with what seemed to be its legs slightly above ground startled us,10-05-2004,,
Open,08-03-2004 20:00,Jammu (India),,India,Light,"We saw a star like object,twinkling like a star but with differentiable irregularity and changing location and brightness.The object wa",09-06-2004,,
Open,06/30/2004 00:00,India,,India,Unknown,"Sonic boom and ""red rain"" over India. ((NUFORC Note: Probable hoax from student, we believe. PD))",10/29/2006,,
Open,06/24/2004 01:15,India,,India,Cigar,I saw a cigar shaped craft.,06/25/2004,,
Open,05/20/2004 00:15,Indore (India),,India,Flash,V-shaped light being focus towards sky which would last for 5to 10 sec .,05/20/2004,,
Open,05/15/2004 19:00,Satara (India),,India,Circle,is that natural miracal ?,05/21/2004,,
Open,05-10-2004 20:00,Tamil Nadu-cuddalore (India),,India,Circle,I and my brother saw a spherical object in the size of a criket ball and it color was like moon. It was moving from southeast to south,09-07-2005,,
